video_id,effective_score,exciting_score,funny_score,language_score,sentiments,topics,topics_list_index,Topic,Description_x,Abbreviation_x,sentiments_list_index,Sentiment,Description_y,Abbreviation_y
i6O98o2FRHw,4,0.4,0.4,1,15,16,16,Other Services,"Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",other_service,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
9IZ4CN-CTCM,1,0.8,1.0,0,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
5AuLkMBAFZg,5,0.2,0.0,1,15,33,33,Safety,"Safety, safe driving, fire safety",safety,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
-rMrkyMn-sY,5,1.0,0.4,1,1,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
iZIHSn1ILxs,5,0.8,1.0,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
w4kHmbZTvyI,2,0.6000000000000001,0.6000000000000001,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
e8iwjnN8j3A,3,0.6000000000000001,0.2,0,1,11,11,Phone TV Internet Providers,"Phone, TV and internet service providers",phone_tv_internet_providers,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
gm_n76Dsl0c,5,0.6000000000000001,1.0,1,6,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,6,Amused,"humored, laughing",amused
BhHONpmlxPc,5,0.8,0.8,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
g7xSwrdkOMM,4,0.6000000000000001,0.2,1,21,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
dNjIpip6e3A,3,0.6000000000000001,0.2,1,1,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
B-XHdkCsc5U,1,0.4,0.8,0,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
-wXjs6DXoeY,5,0.8,1.0,1,6,23,23,Home Improvement,"Home improvements and repairs (furniture, decoration, lawn care, plumbing, etc.)",home_improvement,6,Amused,"humored, laughing",amused
QXAYIYdvnys,4,0.2,0.0,1,5,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
hFYCjZvv8y4,5,0.2,0.4,1,14,7,7,Coffee,"Coffee, tea",coffee,14,Eager,"hungry, thirsty, passionate",eager
7GKuZu9xkj0,5,0.2,0.2,1,10,22,22,Cleaning,"Cleaning products (detergents, fabric softeners, soap, tissues, paper towels, etc.)",cleaning,10,Confident,"assured, strong, healthy",confident
r3idOGxm3FA,5,0.8,0.6000000000000001,0,1,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
n1ClxdeiIUg,1,1.0,0.0,1,9,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
lfABnAS5i9Q,5,0.6000000000000001,0.8,1,6,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,6,Amused,"humored, laughing",amused
X6pyDwa3nGw,3,0.6000000000000001,0.0,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
rBey5TrvoDw,3,0.6000000000000001,0.6000000000000001,1,14,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,14,Eager,"hungry, thirsty, passionate",eager
mulAi7cno2Y,2,0.8,0.8,1,6,27,27,Sports,Sports equipment and activities,sports,6,Amused,"humored, laughing",amused
1jP4O7rEHQ8,3,0.25,0.25,1,5,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
wTfBWIJ8xQo,5,0.6000000000000001,0.6000000000000001,1,12,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,12,Creative,"inventive, productive",creative
0tteHhYh9rU,5,0.4,0.2,1,3,33,33,Safety,"Safety, safe driving, fire safety",safety,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
z01w7kSkDbg,3,1.0,0.4,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
baicgyq5UQo,3,0.4,0.8,1,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
3zQ1lFaQBVc,4,0.6000000000000001,0.0,1,14,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,14,Eager,"hungry, thirsty, passionate",eager
P9LHzVEPodg,5,1.0,0.2,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
7jXUWe3MV_c,5,0.4,0.2,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
-u8ejR98KRE,4,0.4,0.4,1,9,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
xeo9mVnuuWo,3,0.4,0.4,1,6,6,6,Alcohol,Alcohol,alcohol,6,Amused,"humored, laughing",amused
hy2rGDWgOu8,5,1.0,0.2,1,1,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
8zOgbkg6Akw,5,0.2,0.2,1,8,24,24,Home Appliance,"Home appliances (coffee makers, dishwashers, cookware, vacuum cleaners, heaters, music players, etc.)",home_appliance,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
_wZSB0b9OCA,4,0.6000000000000001,1.0,-1,1,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
AEMK1O0BDqA,3,0.8,0.2,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
mh6vHoyBs58,5,1.0,0.4,1,25,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,25,Persuaded,"impressed, enchanted, immersed",persuaded
ghex3MkcoJw,3,0.8,1.0,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
c6PPa6sg20E,4,0.8,0.6000000000000001,1,14,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,14,Eager,"hungry, thirsty, passionate",eager
HtYOm59fys8,3,0.8,0.8,1,6,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,6,Amused,"humored, laughing",amused
2Zr7lY4WsFA,5,0.6000000000000001,1.0,1,6,27,27,Sports,Sports equipment and activities,sports,6,Amused,"humored, laughing",amused
7nr-irGW9bw,5,0.4,0.6000000000000001,1,15,33,33,Safety,"Safety, safe driving, fire safety",safety,15,Educated,"informed, enlightened, smart, savvy, intelligent",educated
xK9KHSYmDRQ,5,0.2,0.0,1,9,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
7oHsDGnZTcw,4,0.8,0.2,1,5,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
1WlRcXIO5ik,5,0.6000000000000001,0.6000000000000001,1,4,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,4,Alert,"attentive, curious",alert
Pc5gHm8Po20,4,0.4,0.4,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
0A43tb18T8Y,3,1.0,1.0,1,6,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,6,Amused,"humored, laughing",amused
VRrMu7B1L2I,5,1.0,1.0,1,6,15,15,Software,"Software (internet radio, streaming, job search website, grammar correction, travel planning, etc.)",software,6,Amused,"humored, laughing",amused
d4rxwT7TwXg,3,1.0,0.0,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
QrnoERrXXAQ,5,1.0,0.2,1,6,21,21,Games,Games and toys (including video and mobile games),game,6,Amused,"humored, laughing",amused
Jtakqt3Jygk,3,0.6000000000000001,0.2,1,9,21,21,Games,Games and toys (including video and mobile games),game,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
-T7zyezBkuY,5,0.6000000000000001,0.6000000000000001,-1,1,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
4jpmWTqKeW0,5,0.4,0.2,1,21,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
tr3dFSzh1yU,3,0.8,0.6000000000000001,1,9,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
e01a4-ClcTs,3,0.4,0.6000000000000001,1,21,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
MsmxhpjYa5o,3,0.6000000000000001,0.0,1,5,15,15,Software,"Software (internet radio, streaming, job search website, grammar correction, travel planning, etc.)",software,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
ObdSno1uoQs,4,0.6000000000000001,0.2,1,14,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,14,Eager,"hungry, thirsty, passionate",eager
E4_ygnUilm4,3,0.4,1.0,0,6,7,7,Coffee,"Coffee, tea",coffee,6,Amused,"humored, laughing",amused
kfrZnIx2VFE,3,0.4,0.8,1,14,6,6,Alcohol,Alcohol,alcohol,14,Eager,"hungry, thirsty, passionate",eager
GqnjzONrPiA,4,0.75,0.25,1,4,37,37,Political,Political candidates (support or opposition),political,4,Alert,"attentive, curious",alert
kTaCT8ZmdJA,5,0.4,0.8,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
bbEy98llGRU,2,0.8,0.6000000000000001,1,1,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
r5vgDdzJ_So,3,0.8,1.0,1,9,21,21,Games,Games and toys (including video and mobile games),game,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
JuHMQ0QpH44,3,0.2,0.8,1,6,3,3,Chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",chips,6,Amused,"humored, laughing",amused
J3POpdFlxWE,5,0.6000000000000001,0.8,0,6,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,6,Amused,"humored, laughing",amused
zwY6acYYO3o,2,0.6000000000000001,0.8,1,6,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,6,Amused,"humored, laughing",amused
nazd-KgCjVI,3,0.4,0.8,1,9,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
V8YkHR9sOoA,3,0.4,0.4,1,3,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
7t2mi19DcmE,4,1.0,0.0,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
PGkHLhnHEb0,5,0.8,1.0,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
xqbxlE1c3DY,4,0.2,0.6000000000000001,1,8,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
_E3VBQa-nAU,3,0.4,0.4,1,6,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,6,Amused,"humored, laughing",amused
BRKbcWGkw1I,5,0.6000000000000001,0.4,1,1,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
YRRBs71p7II,3,0.8,0.4,1,5,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
pnyo92tqh3g,3,0.4,0.2,1,5,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
UYTrnuXHces,2,0.4,0.8,1,6,11,11,Phone TV Internet Providers,"Phone, TV and internet service providers",phone_tv_internet_providers,6,Amused,"humored, laughing",amused
lrMD_z_FnNk,5,0.2,0.2,1,4,22,22,Cleaning,"Cleaning products (detergents, fabric softeners, soap, tissues, paper towels, etc.)",cleaning,4,Alert,"attentive, curious",alert
JOOfRE4m7PE,5,1.0,1.0,1,9,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
pXI340MQ2-o,1,0.4,0.8,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
X5vjQQXauD0,5,0.6000000000000001,0.6000000000000001,1,6,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,6,Amused,"humored, laughing",amused
2v7lsnPvgtI,4,0.4,0.0,1,4,24,24,Home Appliance,"Home appliances (coffee makers, dishwashers, cookware, vacuum cleaners, heaters, music players, etc.)",home_appliance,4,Alert,"attentive, curious",alert
tjgtLSHhTPg,5,1.0,0.4,1,5,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
6IweE9qcQZ4,4,0.2,0.0,1,5,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
L4mP9pR-mzU,3,0.2,1.0,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
xhH2r3mKFeI,5,0.4,1.0,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
tLzfc7Ba12k,3,0.8,0.0,1,5,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
ub_a2t0ZfTs,5,0.4,0.2,1,1,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
Hqhn3eiNTr0,3,0.8,0.6000000000000001,1,8,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
Bf_z_7B4Ifw,5,0.6000000000000001,0.8,1,1,6,6,Alcohol,Alcohol,alcohol,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
kUJjvwkcWcg,5,0.4,1.0,1,6,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,6,Amused,"humored, laughing",amused
jqDrvC3E9kw,3,0.2,0.6000000000000001,1,9,21,21,Games,Games and toys (including video and mobile games),game,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
wi-SZOU1S-s,3,1.0,0.6000000000000001,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
0gjRzLqXijQ,4,0.4,0.8,1,6,16,16,Other Services,"Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",other_service,6,Amused,"humored, laughing",amused
D4pZN0wNuCI,3,0.8,0.4,1,5,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
6YEoYGArMas,4,0.6000000000000001,0.0,1,3,33,33,Safety,"Safety, safe driving, fire safety",safety,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
-HWd3Nqu8_0,3,1.0,0.2,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
uHsLu6X1vys,3,0.2,0.2,1,14,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,14,Eager,"hungry, thirsty, passionate",eager
ptbJZ9HBw2k,5,0.4,0.0,1,4,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,4,Alert,"attentive, curious",alert
KKbRAazkiWc,5,0.6000000000000001,0.4,1,14,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,14,Eager,"hungry, thirsty, passionate",eager
qU5SVyxmW-k,4,0.2,1.0,1,6,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,6,Amused,"humored, laughing",amused
iNDaTA3u6-g,5,0.2,0.0,1,1,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
Bp1KfEGUzZo,4,0.8,0.8,1,1,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
F-n-2itvI6M,5,0.4,1.0,1,6,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,6,Amused,"humored, laughing",amused
5u95Zc7AbDM,3,0.4,0.2,1,25,9,9,Cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",cars,25,Persuaded,"impressed, enchanted, immersed",persuaded
9grrfloJCgc,3,1.0,0.6000000000000001,1,5,21,21,Games,Games and toys (including video and mobile games),game,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
3T_xq0U5D5Y,4,1.0,0.2,1,9,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
qbBLDBohgrY,4,0.2,0.8,1,6,12,12,Financial Services,"Financial services (banks, credit cards, investment firms, etc.)",financial,6,Amused,"humored, laughing",amused
gugjMmXQrDo,5,0.6000000000000001,0.2,1,4,34,34,Smoking Alcohol Abuse,"Smoking, alcohol abuse",smoking_alcohol_abuse,4,Alert,"attentive, curious",alert
6GNGfse9ZK8,5,0.8,0.2,1,4,33,33,Safety,"Safety, safe driving, fire safety",safety,4,Alert,"attentive, curious",alert
pLWpyBVx-Go,3,0.0,0.0,1,4,18,18,Healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",healthcare,4,Alert,"attentive, curious",alert
kpjbhe5HJaE,2,0.6000000000000001,0.0,1,5,10,10,Electronics,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)",electronics,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
iZW04_BdyG8,3,0.6000000000000001,0.0,1,5,23,23,Home Improvement,"Home improvements and repairs (furniture, decoration, lawn care, plumbing, etc.)",home_improvement,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
ILQq5hQhHYY,5,0.8,0.2,1,14,21,21,Games,Games and toys (including video and mobile games),game,14,Eager,"hungry, thirsty, passionate",eager
RpnCkBZVI6o,5,1.0,0.2,1,9,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
6h3G-lMZxjo,3,0.2,0.0,1,4,37,37,Political,Political candidates (support or opposition),political,4,Alert,"attentive, curious",alert
sch_WMjd6go,4,0.2,0.6000000000000001,1,11,36,36,Self Esteem,"Self esteem, bullying, cyber bullying",self_esteem,11,Conscious,"aware, thoughtful, prepared",conscious
vLQGXHy5m6Y,5,1.0,0.2,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
eLhLqDUwPok,3,0.6000000000000001,0.6000000000000001,1,1,27,27,Sports,Sports equipment and activities,sports,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
LwabxgoSGZY,5,0.6000000000000001,0.8,1,14,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,14,Eager,"hungry, thirsty, passionate",eager
9xGRii6IA1M,5,0.2,0.2,-1,8,1,1,Restaurant,"Restaurants, cafe, fast food",restaurant,8,Calm,"soothed, peaceful, comforted, fullfilled, cozy",calm
zkd5dJIVjgM,4,0.8,1.0,1,6,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,6,Amused,"humored, laughing",amused
9Mj3mvkIyg8,3,0.2,0.0,1,5,26,26,Media,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)",media,5,Amazed,"surprised, astonished, awed, fascinated, intrigued",amazed
7Ac2cZPOD00,5,0.6000000000000001,0.6000000000000001,1,4,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,4,Alert,"attentive, curious",alert
PaXPMCoC6zA,5,0.8,0.0,1,21,27,27,Sports,Sports equipment and activities,sports,21,Inspired,"motivated, ambitious, empowered, hopeful, determined",inspired
vh_EwI8pjQU,3,0.8,0.0,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
hro4AdTYiTA,2,0.4,0.6000000000000001,1,9,8,8,Soda,"Soda, juice, milk, energy drinks, water",soda,9,Cheerful,"delighted, happy, joyful, carefree, optimistic",cheerful
797j7LY1eb4,5,0.4,0.6000000000000001,1,4,25,25,Travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",travel,4,Alert,"attentive, curious",alert
uS4e1_gW6Es,1,0.2,0.6000000000000001,1,6,19,19,Clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",clothing,6,Amused,"humored, laughing",amused
__uCQMKry3w,2,0.2,0.0,1,3,37,37,Political,Political candidates (support or opposition),political,3,Alarmed,"concerned, worried, anxious, overwhelmed",alarmed
xM0rsYbAO_k,5,1.0,0.4,1,1,21,21,Games,Games and toys (including video and mobile games),game,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
F7viKAPDmT0,3,0.75,0.5,1,1,2,2,Chocolate,"Chocolate, cookies, candy, ice cream",chocolate,1,Active,"energetic, adventurous, vibrant, enthusiastic, playful",active
